time_ms,X,Y,Z
200522,-9.34,-0.15,0.34
200574,-9.38,-0.08,0.21
200628,-9.38,-0.17,0.33
200680,-9.39,-0.12,0.31
200732,-9.34,-0.1,0.28
200784,-9.33,-0.15,0.26
200838,-9.4,-0.15,0.28
200890,-9.38,-0.12,0.36
200942,-9.41,-0.16,0.38
200994,-9.39,-0.1,0.28
201047,-9.35,-0.11,0.26
201100,-9.33,-0.17,0.22
201152,-9.32,-0.18,0.31
201204,-9.34,-0.15,0.3
201256,-9.32,-0.17,0.34
201310,-9.39,-0.16,0.24
201362,-9.32,-0.15,0.25
201414,-9.39,-0.09,0.38
201466,-9.37,-0.11,0.29
201519,-9.41,-0.11,0.33
201572,-9.35,-0.14,0.12
201624,-9.35,-0.15,0.19
201676,-9.33,-0.1,0.13
201729,-9.34,-0.14,0.25
201782,-9.35,-0.07,0.31
201834,-9.39,-0.14,0.23
201886,-9.38,-0.15,0.2
201938,-9.42,-0.12,0.22
201991,-9.34,-0.14,0.24
202044,-9.39,-0.13,0.29
202096,-9.39,-0.1,0.18
202148,-9.38,-0.17,0.27
202201,-9.31,-0.17,0.23
202254,-9.4,-0.15,0.32
202306,-9.39,-0.1,0.25
202358,-9.35,-0.06,0.35
202411,-9.37,-0.18,0.23
202463,-9.32,-0.17,0.33
202516,-9.41,-0.09,0.23
202568,-9.32,-0.11,0.24
202620,-9.41,-0.14,0.28
202673,-9.34,-0.17,0.25
202726,-9.36,-0.11,0.31
202778,-9.29,-0.15,0.35
202830,-9.33,-0.14,0.17
202883,-9.39,-0.13,0.23
202935,-9.35,-0.16,0.25
202988,-9.34,-0.14,0.23
203040,-9.32,-0.11,0.3
203092,-9.4,-0.1,0.31
203145,-9.34,-0.1,0.2
203198,-9.32,-0.12,0.19
203250,-9.35,-0.19,0.3
203302,-9.33,-0.13,0.23
203355,-9.34,-0.1,0.29
203407,-9.35,-0.08,0.28
203460,-9.37,-0.1,0.21
203512,-9.39,-0.1,0.22
203565,-9.34,-0.16,0.22
203617,-9.35,-0.17,0.3
203669,-9.34,-0.14,0.27
203722,-9.35,-0.17,0.2
203774,-9.35,-0.16,0.3
203827,-9.36,-0.12,0.3
203879,-9.42,-0.09,0.23
203932,-9.34,-0.15,0.3
203984,-9.32,-0.13,0.35
204037,-9.4,-0.07,0.23
204089,-9.32,-0.16,0.27
204141,-9.42,-0.14,0.25
204194,-9.36,-0.13,0.3
204247,-9.35,-0.12,0.2
204299,-9.37,-0.14,0.35
204351,-9.35,-0.12,0.3
204404,-9.4,-0.2,0.2
204456,-9.32,-0.14,0.3
204509,-9.26,-0.15,0.3
204561,-9.41,-0.14,0.25
204613,-9.39,-0.17,0.14
204666,-9.35,-0.07,0.23
204719,-9.36,-0.14,0.27
204771,-9.39,-0.13,0.26
204823,-9.35,-0.17,0.32
204876,-9.36,-0.12,0.2
204929,-9.37,-0.08,0.24
204981,-9.37,-0.11,0.19
205033,-9.32,-0.1,0.36
205085,-9.31,-0.09,0.24
205138,-9.36,-0.16,0.35
205191,-9.36,-0.05,0.23
205243,-9.36,-0.13,0.37
205295,-9.39,-0.1,0.12
205347,-9.37,-0.15,0.27
205401,-9.37,-0.15,0.27
205453,-9.37,-0.16,0.26
205505,-9.39,-0.12,0.34
205557,-9.36,-0.14,0.28
205611,-9.26,-0.08,0.32
205663,-9.39,-0.18,0.28
205715,-9.34,-0.12,0.26
205767,-9.35,-0.13,0.2
205819,-9.4,-0.11,0.26
205873,-9.37,-0.12,0.29
205925,-9.36,-0.11,0.23
205977,-9.35,-0.16,0.24
206029,-9.34,-0.1,0.23
206083,-9.33,-0.11,0.29
206135,-9.35,-0.15,0.33
206187,-9.39,-0.13,0.21
206239,-9.35,-0.13,0.27
206291,-9.32,-0.13,0.33
206345,-9.38,-0.08,0.33
206397,-9.42,-0.11,0.33
206449,-9.37,-0.12,0.34
206501,-9.34,-0.12,0.32
206555,-9.36,-0.12,0.34
206607,-9.36,-0.15,0.28
206659,-9.35,-0.06,0.28
206711,-9.35,-0.11,0.36
206764,-9.35,-0.08,0.29
